Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,11.494000000000002,11.604,11.494000000000002,11.53,0,11.53
2014-07-02,11.646,11.646,11.646,11.612,0,11.612
2014-07-03,11.655,11.655,11.616,11.646,0,11.646
2014-07-04,11.654000000000002,11.654000000000002,11.597,11.616,0,11.616
2014-07-07,11.598,11.598,11.534,11.597,0,11.597
2014-07-08,11.524,11.524,11.449000000000002,11.534,0,11.534
2014-07-09,11.425999999999998,11.508,11.425999999999998,11.449000000000002,0,11.449000000000002
2014-07-10,11.493,11.493,11.493,11.479,0,11.479
2014-07-11,11.505,11.505,11.464,11.493,0,11.493
2014-07-14,11.463,11.483,11.463,11.466,0,11.466
2014-07-15,11.488,11.489,11.482,11.483,0,11.483
2014-07-16,11.519,11.547,11.519,11.482,0,11.482
2014-07-17,11.553,11.553,11.488,11.547,0,11.547
2014-07-18,11.495,11.495,11.418,11.488,0,11.488
2014-07-21,11.411,11.449000000000002,11.411,11.41,0,11.41
2014-07-22,11.448,11.468,11.448,11.449000000000002,0,11.449000000000002
2014-07-23,11.442,11.442,11.442,11.482,0,11.482
2014-07-24,11.529000000000002,11.529000000000002,11.529000000000002,11.442,0,11.442
2014-07-25,11.535,11.652,11.535,11.529000000000002,0,11.529000000000002
2014-07-28,11.661,11.827,11.661,11.652,0,11.652
2014-07-29,11.828,11.927,11.828,11.827,0,11.827
2014-07-30,11.95,11.972,11.95,11.927,0,11.927
2014-07-31,11.976,12.027,11.976,11.972,0,11.972
2014-08-01,12.026,12.126,12.026,12.027,0,12.027
2014-08-04,12.095999999999998,12.155,12.095999999999998,12.126,0,12.126
2014-08-05,12.095999999999998,12.155,12.095999999999998,12.126,0,12.126
2014-08-06,12.207,12.207,12.207,12.144,0,12.144
2014-08-07,12.172,12.376,12.172,12.207,0,12.207
2014-08-08,12.390999999999998,12.390999999999998,12.277,12.376,0,12.376
2014-08-11,12.267,12.576,12.267,12.277,0,12.277
2014-08-12,12.585,13.222,12.585,12.576,0,12.576
2014-08-13,13.199000000000002,13.199000000000002,12.675,13.222,0,13.222
2014-08-14,12.669,12.796,12.669,12.675,0,12.675
2014-08-15,12.815,12.902,12.815,12.796,0,12.796
2014-08-18,12.806,12.806,12.806,12.888,0,12.888
2014-08-19,12.839,12.839,12.806,12.806,0,12.806
2014-08-20,12.832,13.072,12.832,12.806,0,12.806
2014-08-21,13.092,13.23,13.092,13.072,0,13.072
2014-08-22,13.211,13.224,13.211,13.226,0,13.226
2014-08-25,13.293,13.324000000000002,13.293,13.224,0,13.224
2014-08-26,13.336,13.372,13.336,13.331,0,13.331
2014-08-27,13.402,13.713,13.402,13.372,0,13.372
2014-08-28,13.702,13.702,13.262,13.701,0,13.701
2014-08-29,13.263,13.263,13.251,13.264,0,13.264
2014-09-01,13.307,13.307,12.319,13.302,0,13.302
2014-09-02,12.327,12.327,12.073,12.327,0,12.327
2014-09-03,12.059,12.175,12.059,12.056,0,12.056
2014-09-04,12.173,12.425999999999998,12.173,12.174,0,12.174
2014-09-05,12.613,12.613,12.57,12.603,0,12.603
2014-09-08,12.57,12.587,12.568,12.571,0,12.571
2014-09-09,12.621,12.621,12.42,12.568,0,12.568
2014-09-10,12.37,12.674,12.37,12.368,0,12.368
2014-09-11,12.698,12.742,12.698,12.704,0,12.704
